date,price
2013-07-22,100000.0
2013-07-23,103000.0
2013-07-24,102000.0
2013-07-27,104000.0
2013-07-28,103000.0
2013-07-31,103000.0
2013-08-03,104000.0
2013-08-04,103000.0
2013-08-05,102000.0
2013-08-06,102000.0
2013-08-07,103000.0
2013-08-11,105000.0
2013-08-12,104000.0
2013-08-13,104000.0
2013-08-14,104000.0
2013-08-17,106000.0
2013-08-18,106000.0
2013-08-19,104000.0
2013-08-20,103000.0
2013-08-21,104000.0
2013-08-24,106000.0
2013-08-25,106000.0
2013-08-26,108000.0
2013-08-28,112000.0
2013-08-31,111000.0
2013-09-01,111000.0
2013-09-03,114000.0
2013-09-04,114000.0
2013-09-05,114000.0
2013-09-07,112000.0
2013-09-08,111000.0
2013-09-09,107000.0
2013-09-10,105500.0
2013-09-11,104000.0
2013-09-12,104000.0
2013-09-14,102000.0
2013-09-15,99000.0
2013-09-16,98000.0
2013-09-17,98000.0
2013-09-18,102000.0
2013-09-22,96000.0
2013-09-23,95000.0
2013-09-24,99000.0
2013-09-25,99000.0
2013-09-26,99000.0
2013-09-28,101000.0
2013-09-29,99000.0
2013-09-30,98000.0
2013-10-01,98000.0
2013-10-02,98000.0
2013-10-05,99000.0
2013-10-06,98000.0
2013-10-07,99000.0
2013-10-08,98000.0
2013-10-09,98000.0
2013-10-12,95000.0
2013-10-13,96000.0
2013-10-14,95000.0
2013-10-15,95000.0
2013-10-17,97000.0
2013-10-19,97000.0
2013-10-20,97000.0
2013-10-21,97100.0
2013-10-22,97700.0
2013-10-26,99000.0
2013-10-27,99000.0
2013-10-28,99000.0
2013-10-29,99000.0
2013-10-30,98000.0
2013-10-31,98000.0
2013-11-02,98000.0
2013-11-03,97000.0
2013-11-04,97000.0
2013-11-05,97000.0
2013-11-06,97000.0
2013-11-07,97000.0
2013-11-09,95000.0
2013-11-10,95000.0
2013-11-11,95000.0
2013-11-12,95000.0
2013-11-16,95000.0
2013-11-17,94000.0
2013-11-18,94000.0
2013-11-19,93000.0
2013-11-20,92000.0
2013-11-21,92000.0
2013-11-24,86000.0
2013-11-25,89000.0
2013-11-26,89000.0
2013-11-27,88000.0
2013-11-28,88000.0
2013-11-30,89000.0
2013-12-01,89000.0
2013-12-02,88000.0
2013-12-03,88000.0
2013-12-04,89000.0
2013-12-05,89000.0
2013-12-07,89000.0
2013-12-08,89000.0
2013-12-09,90000.0
2013-12-10,90000.0
2013-12-11,89000.0
2013-12-14,90000.0
2013-12-15,89000.0
2013-12-16,89000.0
2013-12-17,89000.0
2013-12-18,88000.0
2013-12-19,88000.0
2013-12-21,87000.0
2013-12-22,88000.0
2013-12-24,87000.0
2013-12-26,88000.0
2013-12-28,90000.0
2013-12-29,89000.0
2013-12-30,89000.0
2013-12-31,89900.0
2014-01-04,90000.0
2014-01-05,90000.0
2014-01-06,90000.0
2014-01-07,90000.0
2014-01-08,90000.0
2014-01-09,90000.0
2014-01-11,91000.0
2014-01-12,89000.0
2014-01-13,89000.0
2014-01-14,89000.0
2014-01-15,89000.0
2014-01-16,89000.0
2014-01-18,89000.0
2014-01-20,87800.0
2014-01-21,88200.0
2014-01-22,88200.0
2014-01-23,88200.0
2014-01-25,88200.0
2014-01-26,88470.0
2014-01-27,88420.0
2014-01-28,88760.0
2014-01-29,89020.0
2014-02-01,89224.0
2014-02-02,89755.0
2014-02-03,89593.0
2014-02-04,89847.0
2014-02-05,89893.0
2014-02-06,89893.0
2014-02-08,90216.0
2014-02-09,90771.0
2014-02-10,91832.0
2014-02-12,93287.0
2014-02-13,93287.0
2014-02-15,95341.0
2014-02-16,96034.0
2014-02-17,95480.0
2014-02-18,95572.0
2014-02-19,95111.0
2014-02-20,95111.0
2014-02-22,95780.0
2014-02-23,97511.0
2014-02-24,98158.0
2014-02-25,96957.0
2014-02-26,97488.0
2014-02-27,97488.0
2014-03-01,98319.0
2014-03-02,101230.0
2014-03-03,98989.0
2014-03-04,99312.0
2014-03-05,99774.0
2014-03-06,99774.0
2014-03-08,98850.0
2014-03-09,99381.0
2014-03-10,99035.0
2014-03-11,99381.0
2014-03-12,99958.0
2014-03-13,99958.0
2014-03-15,100000.0
2014-03-16,98850.0
2014-03-17,97673.0
2014-03-18,97073.0
2014-03-19,97650.0
2014-03-25,97188.0
2014-03-26,96957.0
2014-03-27,96957.0
2014-03-29,96542.0
2014-03-30,96680.0
2014-03-31,96496.0
2014-04-05,96888.0
2014-04-06,97027.0
2014-04-07,98250.0
2014-04-08,98273.0
2014-04-09,99035.0
2014-04-10,99035.0
2014-04-12,99958.0
2014-04-13,100770.0
2014-04-14,100190.0
2014-04-15,100420.0
2014-04-16,100070.0
2014-04-17,100070.0
2014-04-19,100420.0
2014-04-20,100770.0
2014-04-21,101690.0
2014-04-22,101870.0
2014-04-23,102575.0
2014-04-26,105910.0
2014-04-27,103880.0
2014-04-28,103744.0
2014-04-29,103537.0
2014-04-30,103537.0
2014-05-01,103537.0
2014-05-03,103768.0
2014-05-04,104345.0
2014-05-05,103652.0
2014-05-06,102913.0
2014-05-07,101621.0
2014-05-08,101621.0
2014-05-10,99312.0
2014-05-11,100536.0
2014-05-12,100536.0
2014-05-14,100743.0
2014-05-15,100743.0
2014-05-17,100859.0
2014-05-18,101297.0
2014-05-19,100651.0
2014-05-20,100882.0
2014-05-21,101020.0
2014-05-23,100634.0
2014-05-25,100697.0
2014-05-28,98273.0
2014-05-31,97973.0
2014-06-01,97881.0
2014-06-02,97881.0
2014-06-07,96611.0
2014-06-08,96380.0
2014-06-09,96149.0
2014-06-10,97211.0
2014-06-11,97535.0
2014-06-14,97812.0
2014-06-15,97188.0
2014-06-16,96842.0
2014-06-17,96911.0
2014-06-18,97304.0
2014-06-21,99381.0
2014-06-22,98804.0
2014-06-23,99197.0
2014-06-24,98850.0
2014-06-25,98596.0
2014-06-27,97814.5
2014-06-28,97800.5
2014-06-29,98457.2
2014-06-30,97822.8
2014-07-01,98422.1
2014-07-02,97473.7
2014-07-05,96911.0
2014-07-06,96796.0
2014-07-07,97327.0
2014-07-08,97535.0
2014-07-09,98458.0
2014-07-12,98666.0
2014-07-13,97419.0
2014-07-14,97004.0
2014-07-15,97073.0
2014-07-16,97235.0
2014-07-20,97165.0
2014-07-21,97073.0
2014-07-22,97142.0
2014-07-23,97050.0
2014-07-26,97488.0
2014-07-27,97258.0
2014-07-30,97128.8
2014-08-02,97327.0
2014-08-03,97396.0
2014-08-04,97027.0
2014-08-05,97558.0
2014-08-06,97373.0
2014-08-09,97788.0
2014-08-10,97558.0
2014-08-11,97673.0
2014-08-12,97673.0
2014-08-13,97673.0
2014-08-16,96866.0
2014-08-17,96751.0
2014-08-18,96866.0
2014-08-19,96405.0
2014-08-20,95713.0
2014-08-23,96405.0
2014-08-24,96405.0
2014-08-25,96751.0
2014-08-26,96635.0
2014-08-27,96981.0
2014-08-30,97212.0
2014-08-31,97097.0
2014-09-01,96866.0
2014-09-02,96866.0
2014-09-03,96981.0
2014-09-06,96635.0
2014-09-07,96635.0
2014-09-08,96405.0
2014-09-09,96289.0
2014-09-10,96059.0
2014-09-13,94675.0
2014-09-14,95251.0
2014-09-15,95482.0
2014-09-17,95136.0
2014-09-20,93868.0
2014-09-21,93752.0
2014-09-22,94675.0
2014-09-23,94790.0
2014-09-24,94329.0
2014-09-27,96405.0
2014-09-28,96059.0
2014-09-29,95597.0
2014-09-30,95597.0
2014-10-01,95478.6
2014-10-03,95018.0
2014-10-06,95597.0
2014-10-07,95828.0
2014-10-08,96751.0
2014-10-11,96289.0
2014-10-14,96405.0
2014-10-15,96405.0
2014-10-18,96289.0
2014-10-19,95943.0
2014-10-20,96059.0
2014-10-21,95943.0
2014-10-22,95713.0
2014-10-25,95136.0
2014-10-26,95136.0
2014-10-27,95136.0
2014-10-28,95136.0
2014-10-29,94560.0
2014-10-31,92339.9
2014-11-01,92096.6
2014-11-05,91677.0
2014-11-08,92945.0
2014-11-09,92253.0
2014-11-10,92138.0
2014-11-11,92484.0
2014-11-12,92369.0
2014-11-15,93637.0
2014-11-16,93522.0
2014-11-17,93868.0
2014-11-18,93983.0
2014-11-19,93637.0
2014-11-22,93637.0
2014-11-23,94444.0
2014-11-24,94790.0
2014-11-25,95828.0
2014-11-26,96059.0
2014-11-29,97673.0
2014-11-30,97212.0
2014-12-01,97788.0
2014-12-02,97673.0
2014-12-03,97673.0
2014-12-06,97904.0
2014-12-07,98365.0
2014-12-08,99172.0
2014-12-09,100095.0
2014-12-10,100095.0
2014-12-14,101479.0
2014-12-15,101479.0
2014-12-16,101017.0
2014-12-17,101940.0
2014-12-19,101098.3
2014-12-21,101017.0
2014-12-24,101017.0
2014-12-27,101709.0
2014-12-28,101248.0
2014-12-29,100671.0
2014-12-30,100556.0
2014-12-31,99878.7
2015-01-03,100441.0
2015-01-04,100325.0
2015-01-05,101248.0
2015-01-06,101479.0
2015-01-07,101017.0
2015-01-10,101248.0
2015-01-11,101017.0
2015-01-12,101133.0
2015-01-13,101133.0
2015-01-14,101133.0
2015-01-17,104477.0
2015-01-18,105515.0
2015-01-19,105630.0
2015-01-20,106668.0
2015-01-21,105861.0
2015-01-24,105976.0
2015-01-25,105745.0
2015-01-26,105515.0
2015-01-27,105630.0
2015-01-28,105053.0
2015-01-31,104707.0
2015-02-01,103785.0
2015-02-02,104131.0
2015-02-03,103208.0
2015-02-04,102747.0
2015-02-07,100095.0
2015-02-08,101248.0
2015-02-09,101017.0
2015-02-11,101291.6
2015-02-14,101363.0
2015-02-15,101017.0
2015-02-16,99403.0
2015-02-17,99634.0
2015-02-18,100441.0
2015-02-21,99518.0
2015-02-22,99403.0
2015-02-23,99634.0
2015-02-24,100671.0
2015-02-25,100902.0
2015-02-28,100671.0
2015-03-01,100787.0
2015-03-02,100210.0
2015-03-03,100210.0
2015-03-04,99979.0
2015-03-07,97673.0
2015-03-08,97673.0
2015-03-09,96751.0
2015-03-10,94906.0
2015-03-11,95021.0
2015-03-14,92484.0
2015-03-15,93637.0
2015-03-16,94560.0
2015-03-17,94790.0
2015-03-18,96405.0
2015-03-25,97673.0
2015-03-28,95597.0
2015-03-29,96174.0
2015-03-30,96210.0
2015-04-04,98019.0
2015-04-05,98250.0
2015-04-06,98019.0
2015-04-07,97788.0
2015-04-08,97327.0
2015-04-11,99979.0
2015-04-12,99057.0
2015-04-13,98480.0
2015-04-14,98826.0
2015-04-15,99057.0
2015-04-18,99057.0
2015-04-19,98596.0
2015-04-20,98365.0
2015-04-21,98480.0
2015-04-22,97673.0
2015-04-25,97212.0
2015-04-26,97212.0
2015-04-27,97558.0
2015-04-28,97904.0
2015-04-29,97788.0
2015-05-03,96751.0
2015-05-04,96520.0
2015-05-05,96520.0
2015-05-06,96174.0
2015-05-09,95713.0
2015-05-10,95597.0
2015-05-11,95021.0
2015-05-12,95943.0
2015-05-13,96635.0
2015-05-17,96866.0
2015-05-18,95943.0
2015-05-19,95943.0
2015-05-20,95597.0
2015-05-23,95482.0
2015-05-24,95367.0
2015-05-25,95021.0
2015-05-26,94790.0
2015-05-27,95136.0
2015-05-30,95251.0
2015-05-31,95136.0
2015-06-01,95021.0
2015-06-06,93406.0
2015-06-07,93522.0
2015-06-08,93983.0
2015-06-09,94329.0
2015-06-10,93752.0
2015-06-13,93060.0
2015-06-14,92369.0
2015-06-15,92138.0
2015-06-16,92023.0
2015-06-17,92599.0
2015-06-20,92599.0
2015-06-21,92069.0
2015-06-22,91884.0
2015-06-23,92253.0
2015-06-24,92415.0
2015-06-27,92876.0
2015-06-28,92738.0
2015-06-29,92346.0
2015-06-30,92299.0
2015-07-01,91792.0
2015-07-04,90869.0
2015-07-05,89601.0
2015-07-06,89278.0
2015-07-07,89393.0
2015-07-08,90311.5
2015-07-11,88609.0
2015-07-12,89186.0
2015-07-13,90639.0
2015-07-14,90547.0
2015-07-15,89693.0
2015-07-20,88632.0
2015-07-21,87733.0
2015-07-22,88217.0
2015-07-25,89393.0
2015-07-26,89347.0
2015-07-27,89301.0
2015-07-28,89486.0
2015-07-29,89209.0
2015-08-01,89463.0
2015-08-02,89232.0
2015-08-03,89324.0
2015-08-04,89071.0
2015-08-05,89209.0
2015-08-08,89370.0
2015-08-09,89924.0
2015-08-12,90708.0
2015-08-15,91123.0
2015-08-16,91400.0
2015-08-17,91400.0
2015-08-18,92138.0
2015-08-19,93199.0
2015-08-22,95805.0
2015-08-23,95828.0
2015-08-24,94606.0
2015-08-25,93476.0
2015-08-26,93130.0
2015-08-29,94098.0
2015-08-30,94052.0
2015-08-31,94767.0
